יעקובוביץ,2591
סימן טוב,2585
פוגל,2574
מנצור,2570
אמר,2563
רפאל,2563
איתן,2560
טייב,2557
דהרי,2545
ברנס,2543
גיל,2542
סבח,2517
עמית,2506
בקר,2501
בן שבת,2498
סעדון,2497
ויזל,2496
מזוז,2492
זהר,2478
רפאלי,2477
נהרי,2458
ארבל,2449
קרני,2437
ירושלמי,2428
פרקש,2428
פרל,2418
סעדה,2408
בן זקן,2402
עיני,2398
בן ישי,2395
שלזינגר,2386
גלבוע,2380
טרבלסי,2377
מנדל,2370
ויסמן,2358
גבריאל,2356
בראל,2348
הלפרין,2347
ווייס,2347
גנון,2346
נאמן,2345
עטר,2343
ארד,2342
ארליך,2342
גרינפלד,2342
פרטוש,2337
מנור,2325
רביב,2325
דוידוביץ,2324
לסרי,2318
פרחי,2305
שרף,2301
מן,2298
איטח,2296
שחם,2293
איסקוב,2291
עמיר,2288
זריהן,2286
גרשון,2284
כוכבי,2282
בן שמעון,2276
ואקנין,2271
לנקרי,2266
אפרתי,2261
עמוס,2259
שושני,2258
שבת,2255
שמחי,2248
בן אבו,2247
בן יעקב,2247
חסיד,2242
חגבי,2239
נפתלי,2238
סלם,2234
חכמון,2226
אמזלג,2225
גפן,2225
ראובני,2224
מגן,2212
שולמן,2212
שרייבר,2212
יהושע,2209
גז,2207
גלעדי,2207
שפיר,2207
הלר,2204
שוחט,2202
בוקובזה,2197
רזניק,2193
סיבוני,2191
גונן,2183
עזריה,2183
שמאי,2182
ינאי,2178
איצקוביץ,2172
פינקלשטיין,2171
סרור,2166
מור יוסף,2165
סימון,2163
אמויאל,2161
פרנקו,2153
אסייג,2150
קצב,2146
צוקרמן,2145
ענבר,2141
גוזלן,2140
אמיתי,2139
זנו,2131
בורוכוב,2129
ביתן,2119
גורדון,2111
גרבי,2110
בן יהודה,2109
בוחניק,2108
נוי,2105
מקונן,2102
אריאל,2100
נקש,2095
בן שטרית,2083
כרמל,2083
אלמליח,2076
בן ארי,2073
ורדי,2064
בלוך,2063
לזר,2063
דן,2062
קדם,2048
בן ברוך,2046
אליה,2045
לוזון,2045
טובול,2031
חסן,2019
פרנק,2017
חייט,2016
הרמן,2015
גולד,2005
ברגמן,2001
בוטבול,1999
וסרמן,1995
דותן,1991
רותם,1989
רייך,1988
פורמן,1985
טלקר,1979
כרמלי,1971
בן שימול,1963
רוזנבלום,1958
מיכאל,1945
שרמן,1939
ארזי,1938
זכאי,1933
אלטמן,1931
ברבי,1931
יעיש,1927
שובל,1925
יצחקוב,1921
פיטוסי,1921
אבו,1920
כלפון,1920
סער,1913
אפללו,1910
גינזבורג,1910
אברג'ל,1900
בן צבי,1898
אמינוב,1897
דניאלי,1897
ימיני,1893
קראוס,1892
עמרני,1890
רם,1886
קידר,1884
אלישע,1879
גזית,1879
רווח,1877
רבי,1876
נוה,1869
מדמון,1865
לוריא,1862
מורד,1862
ברון,1848
אילון,1847
טובי,1847
אריאלי,1846
רחמני,1845
חפץ,1844
אריה,1843
יהב,1843
בן נון,1842
מעוז,1842
אפרים,1840
פרלמן,1825
רצון,1818
טבול,1816
קציר,1812
אדר,1796
גלזר,1796
זאבי,1792
רוקח,1790
רוזנבלט,1782
לאופר,1776
אהרונוב,1767
אלחרר,1764
נדב,1763
חממי,1762
שלם,1759
מאירי,1745
אבקסיס,1741
דוידי,1739
חכם,1739
ישי,1739
בר און,1737
קניג,1735
אשל,1722
ברנר,1712
ירון,1712
עטייה,1711
כדורי,1709
ויינר,1708
גורביץ,1700
דור,1697
זקן,1694
גלר,1693
עקיבא,1688
אלמקייס,1687
עוזיאל,1684
קטן,1684
דבוש,1679
צוברי,1674
זרביב,1671
ויזמן,1669
וקסלר,1669
סהר,1667
גיגי,1660
אבידן,1659
ברנד,1658
יחיא,1656
יניב,1655
שפיגל,1652
ביבי,1648
ציון,1648
קקון,1646
בסון,1641
לבקוביץ,1641
ועקנין,1639
יוגב,1639
זילברברג,1632
וייסמן,1631
אלמו,1628
אביבי,1627
רוזנבאום,1625
איזנברג,1624
סבאג,1624
אקרמן,1621
זלצמן,1619
עשור,1619
סלמן,1617
אלגרבלי,1616
בן שלום,1611
חג'ג',1611
בלוי,1610
זילברשטיין,1607
חדאד,1606
ליבנה,1602
צימרמן,1599
בנימיני,1597
חזיזה,1592
רפפורט,1592
בורשטיין,1591
נבו,1590
מדינה,1585
סייג,1585
מליחי,1584
אסף,1582
לייבוביץ,1581
פיין,1578
בן נעים,1577
סלמה,1574
גויטע,1571
חיימוביץ,1569
זפרני,1565
רוזנר,1565
ברקאי,1564
שיף,1560
מושייב,1555
צבי,1551
גפני,1550
מלאכי,1547
שבו,1547
שטיינר,1547
נזרי,1545
מלסה,1543
זקס,1529
שר,1528
אוליאל,1527
זילבר,1527
היימן,1526
אבירם,1522
בן גיגי,1520
בניטה,1520
שלי,1519
אייזנבך,1518
רשף,1516
שטרנברג,1515
רייכמן,1512
ונונו,1511
גלילי,1510
מעלם,1509
חכים,1506
שוקר,1504
ברדוגו,1499
בובליל,1494
רומנו,1493
מירון,1490
אילן,1489
פדלון,1489
דורי,1488
שהרבני,1486
דיאמנט,1484
מנדלסון,1481
לשם,1479
מרקוס,1478
בן ציון,1476
זוארץ,1476
פרבר,1476
רביד,1473
שפיצר,1473
ספקטור,1468
שוסטר,1467
נחמן,1464
רום,1462
בוארון,1460
שוורצמן,1460
אפריאט,1459
יאיר,1459
וינברגר,1456
ארונוב,1454
בניסטי,1454
מעודה,1452
בורנשטיין,1449
ברמי,1449
סיון,1448
חגג,1446
בוהדנה,1436
קופרמן,1434
אבישר,1432
דסטה,1432
אונגר,1431
כפיר,1431
רוטשילד,1430
סיטבון,1429
נחשון,1425
עסיס,1425
בוגנים,1422
פנקר,1420
דסה,1418
מימוני,1418
סמואל,1418
קאהן,1417
ניסנוב,1416
בירן,1415
דבש,1413
רייס,1411
שלומי,1411
גרינולד,1408
חורש,1408
ניימן,1405
ניצן,1404
צוקר,1404
בטיטו,1402
עמיאל,1402
ויינשטיין,1398
וויס,1394
בשארי,1392
דייטש,1388
הכהן,1387
נעמן,1385
תשובה,1385
שער,1384
פלח,1383
רובינוב,1378
אטיה,1377
פנחסוב,1377
נח,1368
רויטמן,1366
זגדון,1363
דמתי,1358
יוספי,1358
מולה,1358
ברונשטיין,1357
בק,1356
הרשקו,1355
תנעמי,1355
ברזני,1354
קרישבסקי,1351
בוכריס,1350
מישייב,1350
שילה,1343
אייזנברג,1342
גולדשטין,1340
ציוני,1340
סעדיה,1339
יערי,1338
עידן,1338
טביב,1335
קופמן,1334
וידר,1333
מלכי,1333
אלעזר,1328
מרסיאנו,1319
מתתיהו,1319
פנחסי,1319
סולטן,1317
ניב,1313
סאסי,1313
אליאב,1312
בכור,1309
אלמלך,1308
גורביץ',1306
אלקלעי,1303
שמר,1300
שהם,1299
צדיק,1297
גיאת,1295
טאוב,1295
אלדר,1294
ולדמן,1290
בארי,1288
גנץ,1288
מצליח,1288
קובי,1288
בן יאיר,1286
מרק,1286
