אבו טיר,3332
בן הרוש,3325
בראון,3321
יעקובי,3320
נוימן,3320
נחמיאס,3315
נתשה,3308
אבו מוך,3307
עאזם,3306
מדר,3304
כהנא,3298
אלמלח,3294
גרין,3290
חוסין,3289
ריאן,3288
בוחבוט,3284
חי,3281
רונן,3281
שמעון,3279
אסדי,3259
צמח,3255
אבוטבול,3226
אבני,3226
דקל,3222
אמיר,3221
עבוד,3199
ברמן,3183
אפשטיין,3180
מכלוף,3176
זינגר,3175
ברזילי,3170
בן עזרא,3161
משולם,3160
טולדנו,3149
פחימה,3146
שרביט,3138
אטרש,3133
וינברג,3131
ח'ליל,3124
יחיא,3120
כרמי,3099
איוב,3095
עבאסי,3083
חאג',3082
גור,3080
אופיר,3077
בן יוסף,3069
גליק,3065
מרום,3063
קרמר,3059
זהר,3047
שפר,3041
קינן,3035
שי,3035
זכריה,3020
מרציאנו,3020
איפרגן,3019
אלוני,3010
גרבאן,3002
מזור,2993
עוז,2993
סרור,2990
פישמן,2989
יפת,2971
בצלאל,2966
לנדאו,2960
רוטמן,2953
טוויל,2942
שיבלי,2942
שביט,2928
בלום,2921
עובד,2916
אלמוג,2906
אנגל,2902
רוטנברג,2893
סעדה,2890
ויס,2881
אחמד,2879
כספי,2875
מסיקה,2873
עואודה,2873
נאור,2868
דהאן,2861
קמחי,2861
אור,2852
מושקוביץ,2852
חלפון,2851
בן לולו,2849
דאוד,2843
דורון,2840
פדידה,2827
איבגי,2810
עמירה,2809
שטיינברג,2806
בשיר,2800
אלטורי,2797
אלנבארי,2795
גולאני,2790
שרף,2776
בדיר,2770
דרורי,2770
אבו סבית,2765
עזרן,2763
יפה,2758
מוסקוביץ,2757
ניסן,2756
וינר,2739
בסול,2733
דבש,2732
אלאעסם,2728
אסעד,2727
מוזס,2725
עזר,2710
ימין,2709
מחמוד,2709
בקר,2704
גבארה,2702
גבע,2687
הורביץ,2680
סיני,2676
אברגל,2671
אבו ריא,2667
אלוש,2665
נבון,2651
פוגל,2636
תמיר,2629
יעקובוביץ,2625
גלעד,2616
רפאל,2606
מרגלית,2605
מסארווה,2602
סלמאן,2602
סימן טוב,2601
גיל,2596
טייב,2591
מוראד,2589
אבו רקייק,2587
סבח,2582
איתן,2579
אמר,2569
סבאג,2569
ברנס,2564
עתאמנה,2555
דהרי,2552
אלאטרש,2549
עבד אל קאדר,2548
עמית,2546
מוסטפא,2545
נסאסרה,2539
עווד,2539
סרסור,2532
איסקוב,2524
חמודה,2516
מסאלחה,2514
ויזל,2507
בן שבת,2503
סעדון,2502
רפאלי,2496
בדר,2494
מזוז,2494
רזניק,2490
פרקש,2479
סאלם,2472
פרל,2471
נהרי,2470
סלאימה,2469
שולמן,2467
קרני,2460
ארבל,2459
ירושלמי,2455
עביד,2451
מנדל,2444
קעדאן,2441
אבו עסא,2439
ויסמן,2428
עותמאן,2427
ארליך,2425
בן זקן,2422
בן ישי,2417
עיני,2414
נאטור,2413
גלבוע,2408
דבאח,2407
זובידאת,2397
שלזינגר,2397
גבריאל,2395
הלפרין,2389
טרבלסי,2380
גרינפלד,2376
דוידוביץ,2372
ארד,2367
עטר,2361
גנון,2360
בראל,2359
נאמן,2358
אסמאעיל,2355
עמיר,2353
ווייס,2351
פרטוש,2351
אלהואשלה,2348
מן,2348
רביב,2348
כעביה,2347
רגבי,2345
גרשון,2344
זבידאת,2341
מנור,2340
טרביה,2338
חמאד,2334
לסרי,2332
שחם,2324
פרחי,2319
זיאדנה,2316
קבהא,2315
עטייה,2309
איטח,2303
פינקלשטיין,2303
סבאח,2298
גורדון,2297
פורמן,2295
זריהן,2294
כוכבי,2294
עומרי,2292
עמוס,2292
בן שמעון,2288
אשקר,2286
נפתלי,2285
שושני,2285
ואקנין,2282
לנקרי,2282
שפיר,2276
חוסיין,2274
אפרתי,2269
שבת,2268
יהושע,2267
סלם,2259
בן יעקב,2257
גפן,2256
ענבר,2255
שמחי,2255
בן אבו,2252
ראובני,2250
שוחט,2250
חסיד,2249
סימון,2246
צוקרמן,2243
חגבי,2242
חכמון,2237
אמזלג,2236
שרייבר,2234
מגן,2230
אבו רביעה,2229
בורוכוב,2229
מקונן,2228
חמד,2225
גז,2221
גלעדי,2220
סעדיה,2220
הלר,2215
פלאח,2212
חייט,2211
גונן,2209
בוקובזה,2206
גינזבורג,2203
סיבוני,2201
עזריה,2201
איצקוביץ,2196
גית,2195
שמאי,2192
ינאי,2189
קצב,2185
פרנקו,2181
מור יוסף,2172
ספדי,2169
אמויאל,2167
אבו גודה,2165
אסייג,2160
אדריס,2154
אמיתי,2149
גוזלן,2149
וסרמן,2144
זנו,2141
כבהא,2141
לזר,2134
בלוך,2133
בן יהודה,2129
ביתן,2124
בוחניק,2121
גרבי,2121
נוג'ידאת,2120
שרמן,2120
אריאל,2117
נוי,2113
גולד,2111
כרמל,2109
דן,2106
נקש,2103
שעבאן,2101
חאמד,2098
בן שטרית,2093
בן ארי,2090
פרנק,2090
מרזוק,2087
אלמליח,2083
ורדי,2080
סמארה,2078
מוגרבי,2076
קדם,2072
בן ברוך,2061
אליה,2057
אבו אלקיעאן,2056
ברגמן,2056
אמינוב,2049
לוזון,2048
כבהה,2047
טובול,2045
הרמן,2044
אבו חאמד,2043
כיאל,2039
אבו קרינאת,2037
דחלה,2035
פארס,2032
כנעאן,2030
רוזנבלום,2029
בוטבול,2016
אלטמן,2012
רותם,2009
דותן,2007
רייך,2006
טלקר,1988
עאבד,1988
כרמלי,1986
מיכאל,1984
דוויק,1982
יעיש,1982
בן שימול,1972
סעאידה,1972
ויינר,1969
עמרני,1965
יצחקוב,1961
ארזי,1956
לוריא,1953
גבאלי,1949
אבו,1946
עאסי,1945
שובל,1943
ברבי,1942
זכאי,1941
אבו מדיעם,1939
ברון,1939
עוויסאת,1937
פיטוסי,1935
פרלמן,1935
סער,1932
בן צבי,1925
גורביץ',1925
ימיני,1923
תמימי,1923
כלפון,1922
קראוס,1921
דניאלי,1920
רם,1918
אפללו,1915
אברג'ל,1907
מזאריב,1907
קידר,1903
סלמן,1901
מורד,1899
חליל,1895
אלישע,1894
גזית,1894
אבו אחמד,1890
אהרונוב,1890
גורביץ,1889
חפץ,1886
נוה,1886
פדילה,1886
רווח,1885
ביבי,1881
רבי,1881
אריה,1878
מדמון,1874
גריפאת,1865
נג'אר,1864
טובי,1863
יהב,1863
אילון,1862
אפרים,1862
בן נון,1861
דרויש,1857
חכים,1857
רחמני,1855
אריאלי,1852
עטון,1852
מעוז,1850
סלמה,1845
וקסלר,1841
רוזנבלט,1840
גלזר,1837
טבול,1829
טהה,1828
אבו מדיגם,1827
קציר,1826
רצון,1825
ברנר,1824
ברהום,1822
וייסמן,1822
טאטור,1822
מריסאת,1821
אבו קוידר,1820
דור,1820
הואשלה,1818
זאבי,1815
לאופר,1815
שאער,1810
גלר,1808
אדר,1804
רוקח,1792
חממי,1780
אבו רומי,1774
שוורצמן,1773
שלם,1773
נדב,1771
אלחרר,1770
חכם,1766
מולא,1765
אבו גאנם,1762
מאירי,1760
ישי,1759
נמר,1754
אבקסיס,1753
אל אעסם,1749
אשל,1748
דוידי,1747
קניג,1747
בר און,1744
ירון,1741
ספקטור,1740
עבד אל חי,1739
כדורי,1725
נסר אל דין,1724
קטן,1713
אלמו,1707
עוזיאל,1706
ג'אבר,1703
אקרמן,1699
מוחמד,1697
זקן,1696
עווידה,1694
עקיבא,1693
אלמקייס,1691
עוסמאן,1689
צוברי,1684
ויזמן,1683
זרביב,1683
בורשטיין,1682
דבוש,1682
פרחאת,1682
שפיגל,1680
עשור,1677
אבידן,1675
זלצמן,1675
ברנד,1674
גיגי,1674
ברכאת,1673
יניב,1671
סהר,1668
רוזנבאום,1668
קבועה,1667
יוגב,1665
מסעוד,1664
סייד,1663
זילברשטיין,1662
זילברברג,1661
זיתון,1660
לבקוביץ,1658
ציון,1658
אלקרעאן,1650
בסון,1649
שריף,1648
ועקנין,1647
קקון,1646
איזנברג,1642
אביבי,1640
צימרמן,1639
מושייב,1636
קדח,1634
שר,1634
פיין,1630
חג'ג',1626
רפפורט,1626
שקיראת,1624
בן שלום,1618
אלגרבלי,1617
מדינה,1615
ארונוב,1614
לייבוביץ,1614
ליבנה,1613
בנימיני,1612
שוסטר,1612
נבו,1611
בלוי,1610
אסף,1609
מלסה,1604
עיד,1604
ויינשטיין,1601
סייג,1601
שטיינר,1600
חזיזה,1598
זילבר,1597
חסאן,1595
חסין,1594
מליחי,1594
עלקם,1593
נאשף,1590
קבלאן,1590
פרבר,1587
בן נעים,1585
ניימן,1585
שיף,1585
חיימוביץ,1584
דאהר,1580
זקס,1580
גויטע,1579
רויטמן,1579
דיב,1576
ברקאי,1574
רוזנר,1574
שטרנברג,1569
זפרני,1566
צבי,1566
נזרי,1563
רייכמן,1563
גפני,1558
שבו,1553
מלאכי,1551
רביע,1551
מרקוס,1550
היימן,1547
קופרמן,1546
עזאיזה,1545
סלים,1540
אוסטרובסקי,1536
אבירם,1532
אוליאל,1532
שלי,1530
גלילי,1528
רשף,1527
בניטה,1524
בן גיגי,1523
נעאמנה,1523
אייזנבך,1519
ברונשטיין,1519
ונונו,1519
רומנו,1518
ניסנוב,1517
מעלם,1516
רום,1516
מירון,1513
דיאמנט,1510
שוקר,1509
טויל,1508
רבינוביץ',1506
רייס,1505
ברדוגו,1503
מואסי,1502
אילן,1501
מנדלסון,1500
קושניר,1499
אלסאנע,1498
בובליל,1498
בורנשטיין,1496
לויט,1496
בן ציון,1494
דורי,1494
שהרבני,1492
פדלון,1490
עמאר,1488
חמזה,1486
אבו סולב,1485
זוארץ,1485
סובח,1484
רביד,1484
לשם,1483
שפיצר,1480
רובינוב,1471
מישייב,1470
בוארון,1469
דסטה,1469
שפירו,1468
אל סייד,1467
נחמן,1467
אפריאט,1466
עיסאוי,1466
בניסטי,1464
וינברגר,1462
יאיר,1462
אבו יונס,1460
סיון,1458
ברמי,1457
פנחסוב,1457
מעודה,1455
אונגר,1453
גרה,1452
חגג,1451
חלף,1449
צוקר,1448
קופמן,1448
סיטבון,1447
בוהדנה,1446
רוטשילד,1446
בכרי,1444
אייזנברג,1443
רחאל,1442
אבישר,1438
דסה,1438
פנקר,1438
כפיר,1436
נחשון,1435
סמואל,1435
קליימן,1435
מצארוה,1434
גורליק,1433
ליבשיץ,1432
דנילוב,1431
חבשי,1430
חורש,1430
עסיס,1430
בוגנים,1429
גרבר,1429
עטאללה,1429
ח'יר,1427
מולה,1427
מנאע,1426
דגש,1425
מימוני,1425
גבר,1424
עראבי,1424
קאהן,1424
בירן,1423
ניצן,1419
וויס,1418
קשקוש,1418
שלומי,1416
גרינולד,1411
עמיאל,1409
עיסה,1407
בטיטו,1402
גלמן,1400
הכהן,1400
ג'בר,1395
בשארי,1394
עבדו,1392
דייטש,1391
בק,1390
פרח,1390
גדבאן,1388
שלאעטה,1388
נעמן,1387
תשובה,1387
פלח,1386
שער,1386
ולדמן,1383
מלחם,1383
סיידה,1383
אטיה,1381
הרשקו,1376
נח,1371
קרואני,1371
אבו גאמע,1367
יוספי,1367
סלהב,1366
דמתי,1364
זגדון,1363
תנעמי,1363
ברזני,1358
מנגיסטו,1358
אבו גויעד,1357
סנדלר,1355
שילה,1355
בטחיש,1354
מלכי,1353
ציוני,1353
קרישבסקי,1351
בוכריס,1350
יערי,1350
גברילוב,1349
אבו עאבד,1348
גולדשטין,1348
שהאב,1348
אבו עאיש,1347
עבידאת,1347
קויפמן,1347
עידן,1345
אלמלך,1343
נגאר,1343
חנוכייב,1342
עבד אל חלים,1342
וידר,1341
אלעזר,1340
טביב,1340
סולטן,1340
אבו טראש,1339
טסלר,1339
חסונה,1338
כריים,1338
גבועה,1337
קרינאוי,1336
אליאב,1334
מיכאילוב,1334
ברוק,1332
רפאילוב,1331
מרסיאנו,1329
פנחסי,1328
רשק,1328
פרג,1325
ניב,1324
גיאת,1323
מתתיהו,1322
קיס,1322
תיתי,1322
עבד אל גני,1321
מצרי,1320
שמר,1320
אלדר,1317
בכור,1317
סאסי,1317
סנדוקה,1316
אלקלעי,1312
בוקאעי,1312
היבי,1312
חג'אג'רה,1310
נצר,1309
יופה,1308
קגן,1308
פאעור,1307
צדיק,1307
